"","album","band","year"
"1","A Hard Day's Night","The Beatles",1964
"2","Magical Mystery Tour","The Beatles",1967
"3","Beggar's Banquet","The Rolling Stones",1968
"4","Abbey Road","The Beatles",1969
"5","Led Zeppelin IV","Led Zeppelin",1971
"6","The Dark Side of the Moon","Pink Floyd",1973
"7","Aerosmith","Aerosmith",1973
"8","Rumours","Fleetwood Mac",1977
"9","Hotel California","Eagles",1982
