date,USDT_BTC,USDT_ETH,USDT_BCH,USDT_XRP,USDT_ETC,USDT_XMR,USDT_LTC,USDT_STR,USDT_DASH
2015-02-28 16:00:00,240.0,,,0.00249965,,0.40999999,,,3.68
2015-02-28 20:00:00,240.00006025,,,0.00249965,,0.35000000000000003,,,3.68
2015-03-01 00:00:00,240.00006025,,,0.00249965,,0.35000000000000003,,,3.68
2015-03-01 04:00:00,240.0001205,,,0.00249965,,0.35000000000000003,,,3.68
2015-03-01 08:00:00,251.0,,,0.00249965,,0.35000000000000003,,,3.68
2015-03-01 12:00:00,251.0,,,0.00249965,,0.35000000000000003,,,3.68
2015-03-01 16:00:00,251.0,,,0.024996599999999997,,0.35000000000000003,,,3.68
2015-03-01 20:00:00,251.0,,,0.024996599999999997,,0.35000000000000003,,,3.68
2015-03-02 00:00:00,251.0,,,0.024996599999999997,,0.35000000000000003,,,3.68
2015-03-02 04:00:00,251.0,,,0.024996599999999997,,0.35000000000000003,,,3.68
2015-03-02 08:00:00,251.0,,,0.024996599999999997,,0.35000000000000003,,,3.68
2015-03-02 12:00:00,252.0,,,0.024996599999999997,,0.35000000000000003,,,3.68
2015-03-02 16:00:00,251.0,,,0.024996599999999997,,0.5399,,,3.68
2015-03-02 20:00:00,269.0,,,0.024996599999999997,,0.5399,,,3.68
2015-03-03 00:00:00,269.0,,,0.024996599999999997,,0.5399,,,3.68
2015-03-03 04:00:00,268.0,,,0.0022500000000000003,,0.5399,,,3.68
2015-03-03 08:00:00,269.0,,,0.0022501500000000002,,0.35000000000000003,,,3.68
2015-03-03 12:00:00,258.87499998,,,0.0022501500000000002,,0.35000000000000003,,,3.5
2015-03-03 16:00:00,258.87499998,,,0.0022501500000000002,,0.497,,,3.5
2015-03-03 20:00:00,267.21999999,,,0.0022501500000000002,,0.497,,,3.5
2015-03-04 00:00:00,267.21999999,,,0.0022501500000000002,,0.497,,,3.5
2015-03-04 04:00:00,267.21999999,,,0.0022501500000000002,,0.497,,,3.5
2015-03-04 08:00:00,258.87499998,,,0.009569,,0.497,,,3.5
2015-03-04 12:00:00,258.87499998,,,0.009569,,0.497,,,3.5
2015-03-04 16:00:00,280.0,,,0.009569,,0.497,,,3.5
2015-03-04 20:00:00,280.0,,,0.009569,,0.497,,,3.5
